Timestamp,Gyr.X,Gyr.Y,Gyr.Z,Axl.X,Axl.Y,Axl.Z,Mag.X,Mag.Y,Mag.Z,Temp,Hum
1740564257309,5.075,5.71375,-4.55,-645.99,-655.75,426.39,191.7568,-169.8334,-340.2514,24.06223,21.21861
1740564257310,4.87375,5.6175,-4.38375,-645.624,-652.212,422.852,190.0029,-172.4642,-341.8591,24.06223,21.21861
1740564257312,4.76,5.6175,-4.2175,-641.842,-651.724,420.534,196.7261,-167.7872,-333.0897,24.06223,21.21861
1740564257313,4.52375,5.67875,-4.31375,-637.084,-655.262,417.972,189.7106,-176.8489,-339.959,24.06223,21.21861
1740564257314,4.3575,5.6875,-4.24375,-634.644,-652.822,412.726,192.0491,-173.6334,-346.2438,24.06223,21.21861
1740564257315,4.03375,5.565,-4.27,-633.912,-649.65,406.016,191.7568,-175.3873,-341.2745,24.06223,21.21861
1740564257316,3.63125,5.52125,-4.13875,-630.496,-649.406,406.87,192.6337,-177.7258,-342.736,24.06223,21.21861
1740564257318,3.42125,5.3025,-4.12125,-629.764,-657.702,402.356,189.126,-177.4335,-348.1438,24.06223,21.21861
1740564257319,3.26375,5.27625,-4.095,-628.422,-661.484,397.354,192.3414,-169.8334,-343.3206,24.06223,21.21861
1740564257320,3.045,5.11,-4.2525,-624.762,-662.582,394.67,187.9567,-171.0026,-344.9284,24.06223,21.21861
1740564257322,2.9575,5.10125,-4.15625,-620.126,-663.924,395.28,192.926,-171.5872,-350.9208,24.06223,21.21861
1740564257323,2.695,4.97875,-4.36625,-628.91,-662.948,393.694,187.6644,-174.5104,-345.513,24.06223,21.21861
1740564257324,2.80875,4.94375,-4.15625,-627.446,-666.608,395.402,190.2952,-169.2487,-344.0514,24.06223,21.21861
1740564257325,2.555,4.97875,-4.025,-630.618,-661.24,395.646,188.8337,-179.1874,-350.4823,24.06223,21.21861
1740564257327,2.51125,4.99625,-3.9725,-631.472,-659.288,397.476,190.5875,-173.6334,-342.8822,24.06223,21.21861
1740564257328,2.2925,5.20625,-3.70125,-637.816,-658.312,400.648,188.8337,-177.7258,-355.0131,24.06223,21.21861
1740564257329,2.30125,5.3725,-3.70125,-638.548,-657.58,412.36,192.6337,-170.7103,-346.2438,24.06223,21.21861
1740564257330,1.995,5.53875,-3.465,-635.864,-658.678,414.678,192.6337,-171.0026,-343.0284,24.06223,21.21861
1740564257332,2.065,5.73125,-3.43875,-630.74,-655.75,419.68,193.803,-168.3718,-342.0052,24.06223,21.21861
1740564257333,1.96,5.88875,-3.4825,-629.032,-657.702,421.754,192.3414,-170.7103,-344.9284,24.06223,21.21861
1740564257334,1.82875,5.97625,-3.54375,-629.154,-652.944,420.168,190.2952,-174.8027,-346.6823,24.06223,21.21861
1740564257335,1.74125,5.915,-3.5875,-620.004,-653.066,421.022,193.2184,-174.5104,-350.3362,24.06223,21.21861
1740564257336,1.77625,6.0725,-3.57875,-616.832,-654.042,415.044,191.4645,-166.6179,-342.4437,24.06223,21.21861
1740564257338,1.88125,6.15125,-3.68375,-619.272,-657.336,416.02,194.0953,-163.1102,-346.8284,24.06223,21.21861
1740564257339,1.82875,6.13375,-3.6225,-627.446,-660.02,407.968,193.2184,-164.2794,-345.0745,24.06223,21.21861
1740564257340,2.1175,6.25625,-3.71875,-629.032,-660.02,408.822,190.8799,-171.8796,-348.2899,24.06223,21.21861
1740564257341,2.31875,6.08125,-3.7275,-635.986,-661.606,406.016,188.5414,-165.1564,-351.0669,24.06223,21.21861
1740564257343,2.38875,6.06375,-3.87625,-645.258,-661.24,400.038,193.2184,-168.0795,-351.5054,24.06223,21.21861
1740564257344,2.70375,5.94125,-3.7625,-641.232,-662.338,400.282,192.6337,-163.6948,-348.2899,24.06223,21.21861
1740564257345,2.94,5.9675,-3.80625,-646.356,-658.19,401.258,190.8799,-159.8948,-351.5054,24.06223,21.21861
1740564257347,3.05375,5.8275,-3.89375,-656.726,-661.362,399.916,188.249,-168.0795,-350.0438,24.06223,21.21861
1740564257348,3.3425,5.69625,-3.89375,-648.918,-658.068,397.964,186.4952,-166.0333,-359.3978,24.06223,21.21861
1740564257349,3.29875,5.53875,-3.85,-652.456,-661.972,399.672,189.126,-168.6641,-338.4975,24.06223,21.21861
